"date","GDP","GDPC1","USREC","g1","rg1","g4","rg4"
1952-10-01,380.812,2650.431,0,0.0356566884506702,0.0328421571122224,0.0691620481893884,0.0536783694732625
1953-01-01,387.98,2699.699,0,0.0188229362520091,0.0185886748230761,0.0782613528986715,0.0619178959408972
1953-04-01,391.749,2720.566,0,0.009714418268983,0.00772938020127389,0.0850871118743597,0.0678258016251123
1953-07-01,391.171,2705.258,1,-0.00147543452567878,-0.00562677031176617,0.0638290350039841,0.054207601807063
1953-10-01,385.97,2664.302,1,-0.0132959754173999,-0.0151394062969218,0.0135447412371459,0.00523348844018212
1954-01-01,385.345,2651.566,1,-0.00161929683654194,-0.00478023887682466,-0.00679158719521622,-0.0178290246431178
1954-04-01,386.121,2654.456,1,0.00201377985960582,0.00108992195555446,-0.0143663417136994,-0.0243000904958747
1954-07-01,390.996,2684.434,0,0.0126255759205016,0.0112934627660055,-0.000447374677570722,-0.00769760222500016
1954-10-01,399.734,2736.96,0,0.0223480547115578,0.0195668807651816,0.0356608026530558,0.0272709324993938
1955-01-01,413.073,2815.134,0,0.0333696908444112,0.0285623465450719,0.0719562989009848,0.0616873198705974
1955-04-01,421.532,2860.942,0,0.0204782205566574,0.016272049572063,0.0917095936247965,0.0777884432817872
1955-07-01,430.221,2899.578,0,0.0206129072051471,0.0135046428763665,0.100320719393549,0.0801450138092423
1955-10-01,437.092,2916.985,0,0.0159708614874674,0.00600328737492162,0.0934571490040876,0.0657755319770841
1956-01-01,439.746,2905.656,0,0.00607194823973023,-0.00388380468188898,0.0645721216346749,0.0321554853161519
1956-04-01,446.01,2929.666,0,0.0142445866477463,0.00826319426663025,0.0580691382860614,0.0240214586664114
1956-07-01,451.191,2927.034,0,0.0116163314723889,-0.000898395926361317,0.048742390538816,0.00946896410443188
1956-10-01,460.463,2975.209,0,0.0205500552980888,0.0164586403847722,0.0534692925059257,0.0199603357576401
1957-01-01,469.779,2994.259,0,0.0202318101562995,0.00640291152655204,0.0682962437407049,0.0304932861976779
